Team	Gegner	Datum	Startzeit	späteste Endzeit	Heim/Auswärts	Bereich	Kommentar
Erwachsene II	MTV Moisburg	06.09.2026	15:00	17:30	Heim	Große Halle links	
Erwachsene II	TSV Bienenbüttel	03.10.2026	11:30	14:00	Heim	Große Halle links	
Erwachsene II	VFL Jesteburg	24.10.2026			Auswärts		
Erwachsene II	TuS Jahn Schneverdingen	31.10.2026	11:30	14:00	Auswärts		
Erwachsene II	TV Vahrendorf	01.11.2026	16:00	18:30	Auswärts		
Erwachsene II	TSV Eintracht Hittfeld	07.11.2026	15:00	17:30	Auswärts		
Erwachsene II	Bomlitz	13.11.2026	20:15	22:45	Heim	Große Halle links	
Erwachsene II	Celle/Westercelle III	29.11.2026	10:00	12:30	Heim	Große Halle links	
Erwachsene II	MTV Fichte Winsen	06.12.2026	11:00	13:30	Heim	Große Halle rechts	
Erwachsene	TSV Lamstedt	03.10.2026	17:00	21:00	Auswärts		
Erwachsene	VfL Sittensen	31.10.2026	16:30	20:30	Heim	Große Halle links	
Erwachsene	Hundsmühlen	08.11.2026	10:30	14:30	Auswärts		
Erwachsene	Orcas Oldenburg	08.11.2026	15:30	19:30	Auswärts		
Erwachsene	Oldenburger TB III	15.11.2026	16:00	20:00	Auswärts		
Erwachsene	TSG Dissen	28.11.2026	16:00	20:00	Heim	Große Halle links	
Erwachsene	Sebaldsbrück	29.11.2026	16:00	20:00	Auswärts		
Erwachsene	TV Hude	05.12.2026	17:00	21:00	Auswärts		
Erwachsene	TSV Lunestedt II	06.12.2026	14:00	18:00	Heim	Große Halle links	
Erwachsene VI	Test1	02.09.2026	20:00	22:30	Heim	Kleine Halle	
Erwachsene VIII	Test2	02.09.2026	20:15	22:45	Heim	Kleine Halle	
